State,Action,Value
"0,0,0,0,1,0,0,0,0,0",2,2
"0,0,0,0,1,0,0,0,0,0",0,4
"0,0,0,0,1,0,0,0,0,0",1,2
"0,0,0,1,0,0,0,0,0,0",1,2
"0,0,0,1,0,0,0,0,0,0",2,2
"0,0,0,1,0,0,0,0,0,0",0,4
"0,0,1,0,0,0,0,0,0,0",2,2
"0,0,1,0,0,0,0,0,0,0",0,4
"0,0,1,0,0,0,0,0,0,0",1,2
"0,1,0,0,0,0,0,0,0,0",0,4
"0,1,0,0,0,0,0,0,0,0",1,2
"0,1,0,0,0,0,0,0,0,0",2,2
"1,0,0,0,0,0,0,0,0,0",2,2
"1,0,0,0,0,0,0,0,0,0",0,4
"1,0,0,0,0,0,0,0,0,0",1,2
"0,0,0,0,0,0,0,0,0,0",1,-200
"0,0,0,0,0,0,0,0,0,0",0,-200
"0,0,0,0,0,0,0,0,0,0",2,-200
